Frame numero: 1 | Tiempo total desde el inicio: 668 milisegundos | Tiempo de procesamiento por cada frame: 473 milisegundos | Inicialización: 195 milisegundos | Preprocesamiento: 142 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 87 milisegundos | Calculo de contornos: 17 milisegundos | Algoritmo de conteo: 0.275 milisegundos | Posprocesamiento: 226 milisegundos |
Frame numero: 2 | Tiempo total desde el inicio: 740 milisegundos | Tiempo de procesamiento por cada frame: 71 milisegundos | Inicialización: 195 milisegundos | Preprocesamiento: 17.1 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 30 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 1.46 milisegundos | Posprocesamiento: 19 milisegundos |
Frame numero: 3 | Tiempo total desde el inicio: 801 milisegundos | Tiempo de procesamiento por cada frame: 60 milisegundos | Inicialización: 195 milisegundos | Preprocesamiento: 17.1 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 27 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 14 milisegundos |
Frame numero: 4 | Tiempo total desde el inicio: 856 milisegundos | Tiempo de procesamiento por cada frame: 55 milisegundos | Inicialización: 195 milisegundos | Preprocesamiento: 13.5 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 28 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.949 milisegundos | Posprocesamiento: 8 milisegundos |
Frame numero: 5 | Tiempo total desde el inicio: 928 milisegundos | Tiempo de procesamiento por cada frame: 71 milisegundos | Inicialización: 195 milisegundos | Preprocesamiento: 14.8 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 27 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 6.89 milisegundos | Posprocesamiento: 18 milisegundos |
Frame numero: 6 | Tiempo total desde el inicio: 993 milisegundos | Tiempo de procesamiento por cada frame: 65 milisegundos | Inicialización: 195 milisegundos | Preprocesamiento: 16.7 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 32 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 0.727 milisegundos | Posprocesamiento: 12 milisegundos |
Frame numero: 7 | Tiempo total desde el inicio: 1072 milisegundos | Tiempo de procesamiento por cada frame: 79 milisegundos | Inicialización: 195 milisegundos | Preprocesamiento: 17.6 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 36 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 3.05 milisegundos | Posprocesamiento: 18 milisegundos |
Frame numero: 8 | Tiempo total desde el inicio: 1143 milisegundos | Tiempo de procesamiento por cada frame: 70 milisegundos | Inicialización: 195 milisegundos | Preprocesamiento: 18.3 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 31 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 2.86 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 9 | Tiempo total desde el inicio: 1200 milisegundos | Tiempo de procesamiento por cada frame: 56 milisegundos | Inicialización: 195 milisegundos | Preprocesamiento: 13.6 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 27 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 2.51 milisegundos | Posprocesamiento: 10 milisegundos |
Frame numero: 10 | Tiempo total desde el inicio: 1263 milisegundos | Tiempo de procesamiento por cada frame: 62 milisegundos | Inicialización: 195 milisegundos | Preprocesamiento: 14.8 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 29 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 2.64 milisegundos | Posprocesamiento: 11 milisegundos |
Frame numero: 11 | Tiempo total desde el inicio: 1342 milisegundos | Tiempo de procesamiento por cada frame: 78 milisegundos | Inicialización: 195 milisegundos | Preprocesamiento: 14.3 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 28 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 19.5 milisegundos | Posprocesamiento: 13 milisegundos |
