Frame numero: 1 | Tiempo total desde el inicio: 460 milisegundos | Tiempo de procesamiento por cada frame: 381 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 119 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 104 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.017 milisegundos | Posprocesamiento: 151 milisegundos |
Frame numero: 3 | Tiempo total desde el inicio: 652 milisegundos | Tiempo de procesamiento por cada frame: 191 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 55.4 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 100 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0.011 milisegundos | Posprocesamiento: 29 milisegundos |
Frame numero: 5 | Tiempo total desde el inicio: 976 milisegundos | Tiempo de procesamiento por cada frame: 324 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 44.3 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 208 milisegundos | Calculo de contornos: 25 milisegundos | Algoritmo de conteo: 3.09 milisegundos | Posprocesamiento: 42 milisegundos |
Frame numero: 7 | Tiempo total desde el inicio: 1198 milisegundos | Tiempo de procesamiento por cada frame: 221 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 58 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 121 milisegundos | Calculo de contornos: 8 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 34 milisegundos |
Frame numero: 9 | Tiempo total desde el inicio: 1397 milisegundos | Tiempo de procesamiento por cada frame: 199 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 50.6 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 105 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 36 milisegundos |
Frame numero: 11 | Tiempo total desde el inicio: 1612 milisegundos | Tiempo de procesamiento por cada frame: 214 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 53.9 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 125 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.014 milisegundos | Posprocesamiento: 28 milisegundos |
Frame numero: 13 | Tiempo total desde el inicio: 1796 milisegundos | Tiempo de procesamiento por cada frame: 183 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 52.3 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 97 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 27 milisegundos |
Frame numero: 15 | Tiempo total desde el inicio: 1986 milisegundos | Tiempo de procesamiento por cada frame: 189 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 43.1 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 115 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.011 milisegundos | Posprocesamiento: 25 milisegundos |
Frame numero: 17 | Tiempo total desde el inicio: 2148 milisegundos | Tiempo de procesamiento por cada frame: 161 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 44.5 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 95 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 16 milisegundos |
Frame numero: 19 | Tiempo total desde el inicio: 2337 milisegundos | Tiempo de procesamiento por cada frame: 189 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 48.6 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 110 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 24 milisegundos |
Frame numero: 21 | Tiempo total desde el inicio: 2494 milisegundos | Tiempo de procesamiento por cada frame: 156 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 43.6 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 89 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0.008 milisegundos | Posprocesamiento: 17 milisegundos |
