Frame numero: 1 | Tiempo total desde el inicio: 1375 milisegundos | Tiempo de procesamiento por cada frame: 1234 milisegundos | Inicialización: 140 milisegundos | Preprocesamiento: 36.8 milisegundos | Sustraccion de fondo: 479 milisegundos | Transformaciones Morfologicas: 196 milisegundos | Calculo de contornos: 12 milisegundos | Algoritmo de conteo: 0.071 milisegundos | Posprocesamiento: 509 milisegundos |
Frame numero: 2 | Tiempo total desde el inicio: 1961 milisegundos | Tiempo de procesamiento por cada frame: 584 milisegundos | Inicialización: 140 milisegundos | Preprocesamiento: 6.35 milisegundos | Sustraccion de fondo: 360 milisegundos | Transformaciones Morfologicas: 161 milisegundos | Calculo de contornos: 9 milisegundos | Algoritmo de conteo: 0.012 milisegundos | Posprocesamiento: 47 milisegundos |
Frame numero: 3 | Tiempo total desde el inicio: 2429 milisegundos | Tiempo de procesamiento por cada frame: 468 milisegundos | Inicialización: 140 milisegundos | Preprocesamiento: 5.71 milisegundos | Sustraccion de fondo: 263 milisegundos | Transformaciones Morfologicas: 148 milisegundos | Calculo de contornos: 9 milisegundos | Algoritmo de conteo: 0.009 milisegundos | Posprocesamiento: 40 milisegundos |
Frame numero: 4 | Tiempo total desde el inicio: 2878 milisegundos | Tiempo de procesamiento por cada frame: 448 milisegundos | Inicialización: 140 milisegundos | Preprocesamiento: 4.55 milisegundos | Sustraccion de fondo: 290 milisegundos | Transformaciones Morfologicas: 113 milisegundos | Calculo de contornos: 8 milisegundos | Algoritmo de conteo: 0.015 milisegundos | Posprocesamiento: 31 milisegundos |
Frame numero: 5 | Tiempo total desde el inicio: 3346 milisegundos | Tiempo de procesamiento por cada frame: 467 milisegundos | Inicialización: 140 milisegundos | Preprocesamiento: 4.65 milisegundos | Sustraccion de fondo: 262 milisegundos | Transformaciones Morfologicas: 165 milisegundos | Calculo de contornos: 10 milisegundos | Algoritmo de conteo: 0.016 milisegundos | Posprocesamiento: 24 milisegundos |
Frame numero: 6 | Tiempo total desde el inicio: 3782 milisegundos | Tiempo de procesamiento por cada frame: 435 milisegundos | Inicialización: 140 milisegundos | Preprocesamiento: 3.87 milisegundos | Sustraccion de fondo: 238 milisegundos | Transformaciones Morfologicas: 145 milisegundos | Calculo de contornos: 12 milisegundos | Algoritmo de conteo: 0.021 milisegundos | Posprocesamiento: 35 milisegundos |
Frame numero: 7 | Tiempo total desde el inicio: 4091 milisegundos | Tiempo de procesamiento por cada frame: 308 milisegundos | Inicialización: 140 milisegundos | Preprocesamiento: 7.54 milisegundos | Sustraccion de fondo: 172 milisegundos | Transformaciones Morfologicas: 92 milisegundos | Calculo de contornos: 11 milisegundos | Algoritmo de conteo: 0.015 milisegundos | Posprocesamiento: 25 milisegundos |
Frame numero: 8 | Tiempo total desde el inicio: 4409 milisegundos | Tiempo de procesamiento por cada frame: 317 milisegundos | Inicialización: 140 milisegundos | Preprocesamiento: 4.3 milisegundos | Sustraccion de fondo: 185 milisegundos | Transformaciones Morfologicas: 92 milisegundos | Calculo de contornos: 8 milisegundos | Algoritmo de conteo: 0.499 milisegundos | Posprocesamiento: 25 milisegundos |
Frame numero: 9 | Tiempo total desde el inicio: 4741 milisegundos | Tiempo de procesamiento por cada frame: 331 milisegundos | Inicialización: 140 milisegundos | Preprocesamiento: 3.3 milisegundos | Sustraccion de fondo: 166 milisegundos | Transformaciones Morfologicas: 99 milisegundos | Calculo de contornos: 21 milisegundos | Algoritmo de conteo: 1.95 milisegundos | Posprocesamiento: 38 milisegundos |
Frame numero: 10 | Tiempo total desde el inicio: 5013 milisegundos | Tiempo de procesamiento por cada frame: 271 milisegundos | Inicialización: 140 milisegundos | Preprocesamiento: 4.75 milisegundos | Sustraccion de fondo: 136 milisegundos | Transformaciones Morfologicas: 93 milisegundos | Calculo de contornos: 8 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 28 milisegundos |
Frame numero: 11 | Tiempo total desde el inicio: 5257 milisegundos | Tiempo de procesamiento por cada frame: 244 milisegundos | Inicialización: 140 milisegundos | Preprocesamiento: 2.48 milisegundos | Sustraccion de fondo: 59 milisegundos | Transformaciones Morfologicas: 152 milisegundos | Calculo de contornos: 7 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 22 milisegundos |
