Frame numero: 1 | Tiempo total desde el inicio: 1497 milisegundos | Tiempo de procesamiento por cada frame: 819 milisegundos | Inicialización: 677 milisegundos | Preprocesamiento: 231 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 196 milisegundos | Calculo de contornos: 25 milisegundos | Algoritmo de conteo: 0.327 milisegundos | Posprocesamiento: 366 milisegundos |
Frame numero: 2 | Tiempo total desde el inicio: 1719 milisegundos | Tiempo de procesamiento por cada frame: 221 milisegundos | Inicialización: 677 milisegundos | Preprocesamiento: 51.7 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 110 milisegundos | Calculo de contornos: 8 milisegundos | Algoritmo de conteo: 0.433 milisegundos | Posprocesamiento: 50 milisegundos |
Frame numero: 3 | Tiempo total desde el inicio: 1912 milisegundos | Tiempo de procesamiento por cada frame: 192 milisegundos | Inicialización: 677 milisegundos | Preprocesamiento: 45.3 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 102 milisegundos | Calculo de contornos: 7 milisegundos | Algoritmo de conteo: 0.012 milisegundos | Posprocesamiento: 37 milisegundos |
Frame numero: 4 | Tiempo total desde el inicio: 2110 milisegundos | Tiempo de procesamiento por cada frame: 198 milisegundos | Inicialización: 677 milisegundos | Preprocesamiento: 45.2 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 116 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.051 milisegundos | Posprocesamiento: 30 milisegundos |
Frame numero: 5 | Tiempo total desde el inicio: 2284 milisegundos | Tiempo de procesamiento por cada frame: 173 milisegundos | Inicialización: 677 milisegundos | Preprocesamiento: 40.8 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 102 milisegundos | Calculo de contornos: 7 milisegundos | Algoritmo de conteo: 0.034 milisegundos | Posprocesamiento: 23 milisegundos |
Frame numero: 6 | Tiempo total desde el inicio: 2491 milisegundos | Tiempo de procesamiento por cada frame: 206 milisegundos | Inicialización: 677 milisegundos | Preprocesamiento: 45.7 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 120 milisegundos | Calculo de contornos: 9 milisegundos | Algoritmo de conteo: 0.146 milisegundos | Posprocesamiento: 31 milisegundos |
Frame numero: 7 | Tiempo total desde el inicio: 2736 milisegundos | Tiempo de procesamiento por cada frame: 244 milisegundos | Inicialización: 677 milisegundos | Preprocesamiento: 41.5 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 152 milisegundos | Calculo de contornos: 18 milisegundos | Algoritmo de conteo: 2.02 milisegundos | Posprocesamiento: 30 milisegundos |
Frame numero: 8 | Tiempo total desde el inicio: 2936 milisegundos | Tiempo de procesamiento por cada frame: 199 milisegundos | Inicialización: 677 milisegundos | Preprocesamiento: 39.6 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 114 milisegundos | Calculo de contornos: 12 milisegundos | Algoritmo de conteo: 0.695 milisegundos | Posprocesamiento: 32 milisegundos |
Frame numero: 9 | Tiempo total desde el inicio: 3135 milisegundos | Tiempo de procesamiento por cada frame: 199 milisegundos | Inicialización: 677 milisegundos | Preprocesamiento: 48.5 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 118 milisegundos | Calculo de contornos: 11 milisegundos | Algoritmo de conteo: 0.642 milisegundos | Posprocesamiento: 19 milisegundos |
Frame numero: 10 | Tiempo total desde el inicio: 3282 milisegundos | Tiempo de procesamiento por cada frame: 146 milisegundos | Inicialización: 677 milisegundos | Preprocesamiento: 41.5 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 82 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.151 milisegundos | Posprocesamiento: 16 milisegundos |
Frame numero: 11 | Tiempo total desde el inicio: 3428 milisegundos | Tiempo de procesamiento por cada frame: 145 milisegundos | Inicialización: 677 milisegundos | Preprocesamiento: 39.4 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 82 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0.037 milisegundos | Posprocesamiento: 17 milisegundos |
