Frame numero: 1 | Tiempo total desde el inicio: 540 milisegundos | Tiempo de procesamiento por cada frame: 423 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 16.4 milisegundos | Sustraccion de fondo: 73 milisegundos | Transformaciones Morfologicas: 152 milisegundos | Calculo de contornos: 7 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 174 milisegundos |
Frame numero: 2 | Tiempo total desde el inicio: 764 milisegundos | Tiempo de procesamiento por cada frame: 223 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 4.45 milisegundos | Sustraccion de fondo: 42 milisegundos | Transformaciones Morfologicas: 136 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 33 milisegundos |
Frame numero: 3 | Tiempo total desde el inicio: 987 milisegundos | Tiempo de procesamiento por cada frame: 222 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 5.66 milisegundos | Sustraccion de fondo: 47 milisegundos | Transformaciones Morfologicas: 126 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 35 milisegundos |
Frame numero: 4 | Tiempo total desde el inicio: 1208 milisegundos | Tiempo de procesamiento por cada frame: 221 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 3.95 milisegundos | Sustraccion de fondo: 45 milisegundos | Transformaciones Morfologicas: 121 milisegundos | Calculo de contornos: 7 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 42 milisegundos |
Frame numero: 5 | Tiempo total desde el inicio: 1476 milisegundos | Tiempo de procesamiento por cada frame: 267 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 4.86 milisegundos | Sustraccion de fondo: 73 milisegundos | Transformaciones Morfologicas: 158 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 24 milisegundos |
Frame numero: 6 | Tiempo total desde el inicio: 1703 milisegundos | Tiempo de procesamiento por cada frame: 227 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 4.62 milisegundos | Sustraccion de fondo: 69 milisegundos | Transformaciones Morfologicas: 118 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0.001 milisegundos | Posprocesamiento: 30 milisegundos |
Frame numero: 7 | Tiempo total desde el inicio: 1923 milisegundos | Tiempo de procesamiento por cada frame: 219 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 4.12 milisegundos | Sustraccion de fondo: 68 milisegundos | Transformaciones Morfologicas: 115 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 26 milisegundos |
Frame numero: 8 | Tiempo total desde el inicio: 2142 milisegundos | Tiempo de procesamiento por cada frame: 218 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 4.94 milisegundos | Sustraccion de fondo: 62 milisegundos | Transformaciones Morfologicas: 121 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 23 milisegundos |
Frame numero: 9 | Tiempo total desde el inicio: 2325 milisegundos | Tiempo de procesamiento por cada frame: 182 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 4.47 milisegundos | Sustraccion de fondo: 38 milisegundos | Transformaciones Morfologicas: 112 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 21 milisegundos |
Frame numero: 10 | Tiempo total desde el inicio: 2535 milisegundos | Tiempo de procesamiento por cada frame: 209 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 4.55 milisegundos | Sustraccion de fondo: 41 milisegundos | Transformaciones Morfologicas: 130 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 26 milisegundos |
Frame numero: 11 | Tiempo total desde el inicio: 2757 milisegundos | Tiempo de procesamiento por cada frame: 222 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 4.44 milisegundos | Sustraccion de fondo: 42 milisegundos | Transformaciones Morfologicas: 144 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 24 milisegundos |
