Frame numero: 1 | Tiempo total desde el inicio: 1453 milisegundos | Tiempo de procesamiento por cada frame: 1309 milisegundos | Inicialización: 144 milisegundos | Preprocesamiento: 37.8 milisegundos | Sustraccion de fondo: 405 milisegundos | Transformaciones Morfologicas: 94 milisegundos | Calculo de contornos: 8 milisegundos | Algoritmo de conteo: 0.028 milisegundos | Posprocesamiento: 763 milisegundos |
Frame numero: 2 | Tiempo total desde el inicio: 1705 milisegundos | Tiempo de procesamiento por cada frame: 251 milisegundos | Inicialización: 144 milisegundos | Preprocesamiento: 1.96 milisegundos | Sustraccion de fondo: 150 milisegundos | Transformaciones Morfologicas: 71 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.011 milisegundos | Posprocesamiento: 23 milisegundos |
Frame numero: 3 | Tiempo total desde el inicio: 1902 milisegundos | Tiempo de procesamiento por cada frame: 196 milisegundos | Inicialización: 144 milisegundos | Preprocesamiento: 1.69 milisegundos | Sustraccion de fondo: 120 milisegundos | Transformaciones Morfologicas: 56 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.01 milisegundos | Posprocesamiento: 14 milisegundos |
Frame numero: 4 | Tiempo total desde el inicio: 2104 milisegundos | Tiempo de procesamiento por cada frame: 202 milisegundos | Inicialización: 144 milisegundos | Preprocesamiento: 1.77 milisegundos | Sustraccion de fondo: 137 milisegundos | Transformaciones Morfologicas: 45 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.018 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 5 | Tiempo total desde el inicio: 2256 milisegundos | Tiempo de procesamiento por cada frame: 151 milisegundos | Inicialización: 144 milisegundos | Preprocesamiento: 1.29 milisegundos | Sustraccion de fondo: 77 milisegundos | Transformaciones Morfologicas: 53 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.356 milisegundos | Posprocesamiento: 15 milisegundos |
Frame numero: 6 | Tiempo total desde el inicio: 2406 milisegundos | Tiempo de procesamiento por cada frame: 150 milisegundos | Inicialización: 144 milisegundos | Preprocesamiento: 1.87 milisegundos | Sustraccion de fondo: 71 milisegundos | Transformaciones Morfologicas: 58 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.488 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 7 | Tiempo total desde el inicio: 2536 milisegundos | Tiempo de procesamiento por cada frame: 129 milisegundos | Inicialización: 144 milisegundos | Preprocesamiento: 2.08 milisegundos | Sustraccion de fondo: 57 milisegundos | Transformaciones Morfologicas: 52 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.425 milisegundos | Posprocesamiento: 12 milisegundos |
Frame numero: 8 | Tiempo total desde el inicio: 2676 milisegundos | Tiempo de procesamiento por cada frame: 140 milisegundos | Inicialización: 144 milisegundos | Preprocesamiento: 1.71 milisegundos | Sustraccion de fondo: 66 milisegundos | Transformaciones Morfologicas: 53 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.437 milisegundos | Posprocesamiento: 14 milisegundos |
Frame numero: 9 | Tiempo total desde el inicio: 2756 milisegundos | Tiempo de procesamiento por cada frame: 79 milisegundos | Inicialización: 144 milisegundos | Preprocesamiento: 1.22 milisegundos | Sustraccion de fondo: 20 milisegundos | Transformaciones Morfologicas: 45 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.305 milisegundos | Posprocesamiento: 8 milisegundos |
Frame numero: 10 | Tiempo total desde el inicio: 2881 milisegundos | Tiempo de procesamiento por cada frame: 125 milisegundos | Inicialización: 144 milisegundos | Preprocesamiento: 0.612 milisegundos | Sustraccion de fondo: 60 milisegundos | Transformaciones Morfologicas: 46 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.408 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 11 | Tiempo total desde el inicio: 2962 milisegundos | Tiempo de procesamiento por cada frame: 80 milisegundos | Inicialización: 144 milisegundos | Preprocesamiento: 0.901 milisegundos | Sustraccion de fondo: 20 milisegundos | Transformaciones Morfologicas: 46 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.269 milisegundos | Posprocesamiento: 8 milisegundos |
Frame numero: 12 | Tiempo total desde el inicio: 3071 milisegundos | Tiempo de procesamiento por cada frame: 109 milisegundos | Inicialización: 144 milisegundos | Preprocesamiento: 0.822 milisegundos | Sustraccion de fondo: 56 milisegundos | Transformaciones Morfologicas: 37 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.279 milisegundos | Posprocesamiento: 10 milisegundos |
Frame numero: 13 | Tiempo total desde el inicio: 3137 milisegundos | Tiempo de procesamiento por cada frame: 65 milisegundos | Inicialización: 144 milisegundos | Preprocesamiento: 0.576 milisegundos | Sustraccion de fondo: 18 milisegundos | Transformaciones Morfologicas: 35 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 0.27 milisegundos | Posprocesamiento: 8 milisegundos |
Frame numero: 14 | Tiempo total desde el inicio: 3217 milisegundos | Tiempo de procesamiento por cada frame: 79 milisegundos | Inicialización: 144 milisegundos | Preprocesamiento: 1.08 milisegundos | Sustraccion de fondo: 32 milisegundos | Transformaciones Morfologicas: 34 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.278 milisegundos | Posprocesamiento: 8 milisegundos |
Frame numero: 15 | Tiempo total desde el inicio: 3292 milisegundos | Tiempo de procesamiento por cada frame: 74 milisegundos | Inicialización: 144 milisegundos | Preprocesamiento: 0.887 milisegundos | Sustraccion de fondo: 20 milisegundos | Transformaciones Morfologicas: 40 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.359 milisegundos | Posprocesamiento: 8 milisegundos |
Frame numero: 16 | Tiempo total desde el inicio: 3380 milisegundos | Tiempo de procesamiento por cada frame: 87 milisegundos | Inicialización: 144 milisegundos | Preprocesamiento: 0.914 milisegundos | Sustraccion de fondo: 33 milisegundos | Transformaciones Morfologicas: 41 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 0.273 milisegundos | Posprocesamiento: 8 milisegundos |
Frame numero: 17 | Tiempo total desde el inicio: 3446 milisegundos | Tiempo de procesamiento por cada frame: 65 milisegundos | Inicialización: 144 milisegundos | Preprocesamiento: 0.582 milisegundos | Sustraccion de fondo: 16 milisegundos | Transformaciones Morfologicas: 37 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 0.27 milisegundos | Posprocesamiento: 8 milisegundos |
Frame numero: 18 | Tiempo total desde el inicio: 3541 milisegundos | Tiempo de procesamiento por cada frame: 95 milisegundos | Inicialización: 144 milisegundos | Preprocesamiento: 0.831 milisegundos | Sustraccion de fondo: 40 milisegundos | Transformaciones Morfologicas: 42 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 0.277 milisegundos | Posprocesamiento: 8 milisegundos |
Frame numero: 19 | Tiempo total desde el inicio: 3609 milisegundos | Tiempo de procesamiento por cada frame: 67 milisegundos | Inicialización: 144 milisegundos | Preprocesamiento: 0.856 milisegundos | Sustraccion de fondo: 14 milisegundos | Transformaciones Morfologicas: 39 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.302 milisegundos | Posprocesamiento: 9 milisegundos |
Frame numero: 20 | Tiempo total desde el inicio: 3705 milisegundos | Tiempo de procesamiento por cada frame: 94 milisegundos | Inicialización: 144 milisegundos | Preprocesamiento: 0.85 milisegundos | Sustraccion de fondo: 37 milisegundos | Transformaciones Morfologicas: 41 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.319 milisegundos | Posprocesamiento: 11 milisegundos |
