Frame numero: 1 | Tiempo total desde el inicio: 393 milisegundos | Tiempo de procesamiento por cada frame: 334 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 85.4 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 1.46 milisegundos | Posprocesamiento: 240 milisegundos |
Frame numero: 2 | Tiempo total desde el inicio: 455 milisegundos | Tiempo de procesamiento por cada frame: 61 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 22.2 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 13.1 milisegundos | Posprocesamiento: 20 milisegundos |
Frame numero: 3 | Tiempo total desde el inicio: 507 milisegundos | Tiempo de procesamiento por cada frame: 51 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 24.7 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 3.14 milisegundos | Posprocesamiento: 18 milisegundos |
Frame numero: 4 | Tiempo total desde el inicio: 559 milisegundos | Tiempo de procesamiento por cada frame: 51 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 20.8 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 12.7 milisegundos | Posprocesamiento: 12 milisegundos |
Frame numero: 5 | Tiempo total desde el inicio: 616 milisegundos | Tiempo de procesamiento por cada frame: 57 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 18.1 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 15.2 milisegundos | Posprocesamiento: 18 milisegundos |
Frame numero: 6 | Tiempo total desde el inicio: 662 milisegundos | Tiempo de procesamiento por cada frame: 44 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 15.5 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 6.95 milisegundos | Posprocesamiento: 18 milisegundos |
Frame numero: 7 | Tiempo total desde el inicio: 779 milisegundos | Tiempo de procesamiento por cada frame: 115 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 17.1 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 71.5 milisegundos | Posprocesamiento: 22 milisegundos |
Frame numero: 8 | Tiempo total desde el inicio: 829 milisegundos | Tiempo de procesamiento por cada frame: 49 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 18 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 12.4 milisegundos | Posprocesamiento: 15 milisegundos |
Frame numero: 9 | Tiempo total desde el inicio: 891 milisegundos | Tiempo de procesamiento por cada frame: 62 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 14.8 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 26.1 milisegundos | Posprocesamiento: 18 milisegundos |
Frame numero: 10 | Tiempo total desde el inicio: 947 milisegundos | Tiempo de procesamiento por cada frame: 54 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 18.1 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 20.5 milisegundos | Posprocesamiento: 12 milisegundos |
Frame numero: 11 | Tiempo total desde el inicio: 985 milisegundos | Tiempo de procesamiento por cada frame: 38 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 12.7 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 6.34 milisegundos | Posprocesamiento: 15 milisegundos |
