Frame numero: 1 | Tiempo total desde el inicio: 574 milisegundos | Tiempo de procesamiento por cada frame: 495 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 20 milisegundos | Sustraccion de fondo: 63 milisegundos | Transformaciones Morfologicas: 80 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.006 milisegundos | Posprocesamiento: 327 milisegundos |
Frame numero: 2 | Tiempo total desde el inicio: 696 milisegundos | Tiempo de procesamiento por cada frame: 120 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 1.8 milisegundos | Sustraccion de fondo: 17 milisegundos | Transformaciones Morfologicas: 67 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 29 milisegundos |
Frame numero: 3 | Tiempo total desde el inicio: 810 milisegundos | Tiempo de procesamiento por cada frame: 113 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 2.05 milisegundos | Sustraccion de fondo: 23 milisegundos | Transformaciones Morfologicas: 67 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 16 milisegundos |
Frame numero: 4 | Tiempo total desde el inicio: 919 milisegundos | Tiempo de procesamiento por cada frame: 109 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 1.81 milisegundos | Sustraccion de fondo: 18 milisegundos | Transformaciones Morfologicas: 60 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 24 milisegundos |
Frame numero: 5 | Tiempo total desde el inicio: 1045 milisegundos | Tiempo de procesamiento por cada frame: 125 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 4.14 milisegundos | Sustraccion de fondo: 18 milisegundos | Transformaciones Morfologicas: 69 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 28 milisegundos |
Frame numero: 6 | Tiempo total desde el inicio: 1156 milisegundos | Tiempo de procesamiento por cada frame: 110 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 2.13 milisegundos | Sustraccion de fondo: 19 milisegundos | Transformaciones Morfologicas: 63 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.002 milisegundos | Posprocesamiento: 20 milisegundos |
Frame numero: 7 | Tiempo total desde el inicio: 1293 milisegundos | Tiempo de procesamiento por cada frame: 136 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 1.03 milisegundos | Sustraccion de fondo: 24 milisegundos | Transformaciones Morfologicas: 85 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.414 milisegundos | Posprocesamiento: 20 milisegundos |
Frame numero: 8 | Tiempo total desde el inicio: 1391 milisegundos | Tiempo de procesamiento por cada frame: 97 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 2.22 milisegundos | Sustraccion de fondo: 16 milisegundos | Transformaciones Morfologicas: 59 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.288 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 9 | Tiempo total desde el inicio: 1486 milisegundos | Tiempo de procesamiento por cada frame: 95 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 1.06 milisegundos | Sustraccion de fondo: 16 milisegundos | Transformaciones Morfologicas: 60 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.241 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 10 | Tiempo total desde el inicio: 1580 milisegundos | Tiempo de procesamiento por cada frame: 93 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 0.928 milisegundos | Sustraccion de fondo: 15 milisegundos | Transformaciones Morfologicas: 59 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.202 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 11 | Tiempo total desde el inicio: 1683 milisegundos | Tiempo de procesamiento por cada frame: 102 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 1.07 milisegundos | Sustraccion de fondo: 19 milisegundos | Transformaciones Morfologicas: 63 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.405 milisegundos | Posprocesamiento: 14 milisegundos |
Frame numero: 12 | Tiempo total desde el inicio: 1776 milisegundos | Tiempo de procesamiento por cada frame: 91 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 0.9 milisegundos | Sustraccion de fondo: 16 milisegundos | Transformaciones Morfologicas: 56 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.522 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 13 | Tiempo total desde el inicio: 1869 milisegundos | Tiempo de procesamiento por cada frame: 93 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 1.13 milisegundos | Sustraccion de fondo: 17 milisegundos | Transformaciones Morfologicas: 53 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.217 milisegundos | Posprocesamiento: 16 milisegundos |
Frame numero: 14 | Tiempo total desde el inicio: 1952 milisegundos | Tiempo de procesamiento por cada frame: 82 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 1.16 milisegundos | Sustraccion de fondo: 15 milisegundos | Transformaciones Morfologicas: 51 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.138 milisegundos | Posprocesamiento: 10 milisegundos |
Frame numero: 15 | Tiempo total desde el inicio: 2038 milisegundos | Tiempo de procesamiento por cada frame: 86 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 1.34 milisegundos | Sustraccion de fondo: 17 milisegundos | Transformaciones Morfologicas: 50 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.486 milisegundos | Posprocesamiento: 12 milisegundos |
Frame numero: 16 | Tiempo total desde el inicio: 2124 milisegundos | Tiempo de procesamiento por cada frame: 85 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 0.866 milisegundos | Sustraccion de fondo: 15 milisegundos | Transformaciones Morfologicas: 55 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.187 milisegundos | Posprocesamiento: 9 milisegundos |
Frame numero: 17 | Tiempo total desde el inicio: 2213 milisegundos | Tiempo de procesamiento por cada frame: 88 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 0.866 milisegundos | Sustraccion de fondo: 15 milisegundos | Transformaciones Morfologicas: 51 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.352 milisegundos | Posprocesamiento: 15 milisegundos |
Frame numero: 18 | Tiempo total desde el inicio: 2303 milisegundos | Tiempo de procesamiento por cada frame: 90 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 0.998 milisegundos | Sustraccion de fondo: 17 milisegundos | Transformaciones Morfologicas: 53 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.334 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 19 | Tiempo total desde el inicio: 2388 milisegundos | Tiempo de procesamiento por cada frame: 84 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 0.946 milisegundos | Sustraccion de fondo: 16 milisegundos | Transformaciones Morfologicas: 49 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.441 milisegundos | Posprocesamiento: 12 milisegundos |
Frame numero: 20 | Tiempo total desde el inicio: 2476 milisegundos | Tiempo de procesamiento por cada frame: 87 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 0.983 milisegundos | Sustraccion de fondo: 15 milisegundos | Transformaciones Morfologicas: 54 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.526 milisegundos | Posprocesamiento: 12 milisegundos |
Frame numero: 21 | Tiempo total desde el inicio: 2561 milisegundos | Tiempo de procesamiento por cada frame: 84 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 0.904 milisegundos | Sustraccion de fondo: 14 milisegundos | Transformaciones Morfologicas: 53 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.423 milisegundos | Posprocesamiento: 11 milisegundos |
Frame numero: 22 | Tiempo total desde el inicio: 2643 milisegundos | Tiempo de procesamiento por cada frame: 82 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 1.07 milisegundos | Sustraccion de fondo: 16 milisegundos | Transformaciones Morfologicas: 49 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.272 milisegundos | Posprocesamiento: 11 milisegundos |
